decoded_emojis,rating
طلعت مصطفى المطور العقاري الاول في مصر purple heart,1
تحت .نروىز زووىةتتر رزلاوي,1
للأسف احاول طلب بيتزا من دومنيوز بيتزا صالة ومرت ساعه ولا أستطيع الطلب بسبب كثرة الطلبات نتمنى زيادة عدد السائقين في المطاعم التي عليها اقبال من قبل الزبائن وشكرا,-1
جميل هو رائع جدا جدا,1
رائع وممتاز,1
افضل من غيره بكثير,1
ناس في منتهي السوء بجد منتهي الوقاحه قوله الذوق,-1
مرررريح جدااا,1
معاملتهم والدقة عندهم جميلة,1
شكرا طلبات سهلت علينا الخدمة,1
قذر ونصابين وحتي تواصل المساعدة كتابين,-1
وصل في دقيقة,1
جمممميل انصح الكل فيه,1
انا عندي مشكل كبير رررب التوصيل غلي با دير ادعو !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!رخص شوي,1
ليش مافي قرى أو ليش مافيها مقر السود,1
ليتك سيزر فرع ابوعريش طعم جداخايس وطلب يوصل متاخر ناقص حسبنا الله عليكم,-1
تطبيق سيئ جدا كلما طلبت اي طلب يأتي ناقص او فيه مشكله وعندما اكلم الدعم يخبرني بأنه سوف يأتيك شخص لتصحيح هذا الخطاء ولا يأتي اي احد,-1
مشهورين,1
المدينة المصورة اهتموا فيها اكثر فقط يخدمون جدة والريااض وهذا خطأ كبير لديكم لان المدينة المصورة في موسم الحج فقط تدخل لكم ما تدخله جدة او الرياض خلال سنة التقييم سيء,-1
الخدمه جميله استفدت منها كثير واخبرت صديقاتي بها وبكل مكان يديك الطلب ماشاءالله,1
راااااااااااائع،جدا،,1
مايحتاج اروح المطعم smiling face with heart-eyes,1
تطبيق رائع جدا white heart ⁦ thumbs up light skin tone ⁩,1
البرنامج مش يفتح بشكل طبيعي وانتما مش عارفين تحلو المشكله,-1
جيدا جدا... اقوم بالطهي المنزلي لست بحاجة سأفسح المجال للآخرين في هذا التطبيق,1
روعة red heart red heart,1
جيد جدا والدفع عند الاستلام ويصلح عند بيتك والطلب الي انت طلبنا يجيب كله yellow heart yellow heart yellow heart,1
سهولة التواصل مع المطاعم وتعديل الطلب,1
smiling face with smiling eyes smiling face with smiling eyes,1
ما بفتح باله,-1
تم التعامل مع الشكوى ..شكرا جزيلا,1
failed to work,-1
تطبيق ممتاز جدا جدا جدا,1
واوو,1
من معرفتي انه لا _باس به,-1
جميل جدا لكن خصم ال% علي بطاقة الائتمان fab مش شغال عندي,-1
ليش معا من يشتغل معي,-1
جودة جيدة ولكن اسعار تتزايد,-1
صراحه فنان احسن عن زحمة شارع هو سرعة طلبيه ولا تكلم حد,1
برنامج ممتاز وانت بأي مكان يوصل طلباتك اولادك,1
برنامج سيء اواجه مشكلة الان في تسجيل الدخول فجأه ولا يوجد اي اهتمام من خدمة العملاء لديكم,-1
good purple heart,1
حلوووو طلبت وجبتين,1
ممتاز استمرو,1
مميزه جدا,1
نزلت التطبيق والمفروض فيه باقة نت هديه وطبعا موصلتش ودخل بيانات الرقم ورسالة الكود مش بوصلتي,-1
خدمة ممتاز,1
الموقع صار فاشل ابي اتواصل معاهم محاطين بس يردون ايميل ولا احد اتصل طلبت شاحن وابي بدله رفض وهو نفس السعر كلهم,-1
برنامج مميز,1
برنامج رائع جدآ,1
التطبيق ممتاز جدا. ورائع,1
ممتاز smiling face with hearts index pointing up light skin tone,1
طلبت منه جد جميل,1
جدا جدا جدا كويس مني طلبات وتطلبوه كل المطاعم مني الي قابلته هذا التطبيق,1
حلوى بيته يفيدني بس مشكله الأسعار اغلى هنا,1
هو يستاهل خمس نجوم بس انا ما يفتح عندي ما يروا يحدد الموقع ما اعرف ليش,1
شركه محترمة,1
مره روعه,1
اقدر اود ابليشن,0
مره طلبت منهم وحيد ولو ويرقصون من الطلب أخي الاكل يجي بارد مشاكل فيه,-1
جيد بكل إمتياز مباشر وسريع لا تتراجع في الأختيار,1
مانستغني الله لا حرمنا,1
انه التطبيق جامد جدا روعه جدا بس في مطعم غالي مو معقول!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!! !!!!!!!!!!!!!,1
برنامج عجيييب ا...اهم شي والدينا الاكل ..,1
معلش,1
دفعت أكثر من خمسمائه جنين وما وصل شيء يا مصابين face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth,-1
للاسف اسعار التوصيل مبالغ فيها جدا,-1
توصيل الا توصيل ما مجاني,-1
عادي احس لو مافي هنقرستيشن لانه احسن عشر مرااات من جهة التصميم بسهوله الاستخدام اقصد هنتر مقارنه بهم بس لا باس بهم,-1
من كثر علامات,-1
أرجو إضافة شركة مياة دمياط,0
تجربتي جدا جدا جميله كل شكري هو تقديري لي منشأ طلبات smiling face with open hands,1
جميللللللل red heart,1
مفيش حد من خدمه العملاء بيرد علي العملاء,-1
very good service,1
مش راضي يدخلني,-1
ااغتا___,1
اجل,1
ذذءشءء,1
نص ساعه يتقالي جاري التثبيت ولا يتحمل اصلا مع العلم في تلت تطبيقات حملتهم بعده وهو زي ماهو,-1
لا تقول مو ساحب .. لان طلبات دوت كوم لك الصاحب,1
اقبل ناس ممكن تتعامل معها بعد ساعتين يتصل بيا ويقول مش نبعت الاوردر عشان أنت قاعد في كافيه,-1
خدمة التوصيل كتير غالية,-1
هناك مشكلة مع التحديث الجديد فهو بطيء ولا يفتح بسرعة,-1
والله اني طلبت في يوم قالي ساعه وربع بعدين اتصل علي وقال انت في السويدي وانا في العزيزة وارسلت لهم بيتنا به الGBSبعدين سكر واتصل علي مره ثانية وقال بي بعد ساعة علامات اقعد اسمنا ساعتين هو نص,-1
جربت اطلب,1
أنه جيد blue heart ghost blue heart flexed biceps جميل,1
برنامج سيد طلب يوصل عقب ساعات المحل قريب انا ارجو من الناس لا تحمل البرنامج عندكم هنقرستين الرجاء مقاطعة البرنامج ليس لديهم مملة مع المستمر بس ينصبون عليه,-1
يجنننننننننننين smiling face with halo,1
ليش مو عارفه ادخل الابلكيشن معمول بان ممكن توضيح اذا عندكم توضيح,-1
انه تطبيق رائع جدا,1
يع مقرف انا طلبت بعد ساعات وصل,-1
اتمنى في سلطته عمان تعديل فتح محلات ومطاعم في التطبيق ساعة صباح وحتى قبل لانه معنا مطاعم تفتح ساعة . وزيادة المحلات مطاعم والزون.,-1
التطبيق لايسمح بتسجيل الحساب,-1
ممكن اقتراح اضافة عداد للوقت بعد الطلب,1
ttalabat,1
برنامج جميل ولكن ان ساكن في قرية عمر شاهين _مركز بدر _البحيرة ولما اي احدد المكان عن طريق الموقع الجغرافي (GPS) بيقول المكان مش موجود ياريت تحلوا المشكلة بها,-1
اسرع من التطبيقات الكبرى,1
رائع افضل تطبيق اقسم بالله العظيم,1
عدم الدقة في توقيت توصيل الطلب,-1
جدا مميز,1
السلام عليكم البرنامج شغال في مصر ولو شغال في مصر كيفية التواصل معكم ازاي,1
يعمل الواي فاي احسن من البيانات pensive face,1
أسرع وأحسن تعامل purple heart purple heart,1
عذرا لاكن عندنا مطاعم كثيرة ولا يجيب إلى هاردي كنتاكي ومطعم غريب وطلبت ولم يأتي طلبي,-1
ياخد وقت طويل جدا في الفتح ارجو تحسين الخدمة,-1
ممتاز هو سيء,0
حولهم اطلب واكتب العنوان يرسلون الطلب لمطعم ابعد مني وبعدين يعتذر المطعم عن التوصيل بعد ساعتين واحيانا مايدقون نهائي يكنسلون الطلب من راسه انا احب البرنامج بس ياليت تعدلونه,-1
اتمنى تليفون ماكدونالدز,1
انه برنامج جميل طلبت بيتزا جلبها شكرا,1
الاهتمام بالخدمات الطبيه للعاملين المجموعه عمل جيد هو مشرف,-1
خط السير متاح من العباسية للحي السابع من نصر؟؟,0
الا توصيل هو سريع,1
طريقة سهلة في استخدام التطبيق,1
رائع مع شعب §§§§§,1
بطيء,-1
بكل صراحه تطبيق ممتاز جدا.. خدمني كثير في دبي والشارقه,1
رائع جدا جدا جدا جدا جدا التوصيل سريع خدمه التوصيل كويسه مابيتاخرو عن الطلب,1
اللتمم,1
تجربه,0
heavy dollar sign heavy dollar sign برافو,1
التطبيق اصبح سيء للغايه نقوم بطلب لا يتم وصول الطلب بسبب عدم وجود سائق او يتم استقبال الطلب ولا يأتي وعند الاتصال بالسائق يخبرني انه لن يأتي بسبب الاضراب ... شركه اصبحت فاشله لا تستطيع دفع اجور السائقين,-1
epic,1
تطبيق جميل وسريع,1
جميل والوجبات تجي حاره والسعر نفس سعر المطعم بالضبط,1
كل شيء حلو بس المشكلة السعر غالي,-1
أحبه,1
اسوأ تطبيق للأكل الطلب من عليه يختلف مليون درجه عن الطلب مباشر من المطعم الكميه هو السعر يفرق هو بيكون اسوأ لأي مطعم ولا بسبب انهم بياخدو نسبه فلوس من كل مطعم فا المطعم بيستقطعها من الزبون في طلبه للأكل كمان كان الاول يخلوا التوصيل ببلاد لحد ما بنوع دليفري المطاعم عدو في بيوتهم هو بعدها خلفه به هو جنيه حقيقي مصابين هو مستوي متدني,-1
برنامج جدا جميل ويسهل عليك كثير,1
سئ جدا لا انصح اي حد بالتعامل معه خدمه توصيل سيئه جدا عدم حمايه المستهلك مشاكل كثير اخر مره نتعامل مع ها البرنامج,-1
good,1
تطابق زبالة,-1
thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up beating heart beating heart beating heart,1
رووووعه grinning squinting face,1
its a nice delivery,1
البيرة ىخر,1
vs taliban hello food,0
التطبيق لا يعمل بطريقه صحيحه حتي ويل كتبت سكر لا يعمل ولا يوجد ايلا مطاحن محدده,-1
برنامج جيد ومفيد جدا face blowing a kiss,1
عليهم بيتزا تحقق,1
جميل جدا لاكن مطاعم الحلى قليله خلفها كثيرة,1
موقع بخزي هو يستحق اقل من نجمه,-1
البرنامج جميل وواضح ... يستاهل التحميل,1
لماذا التطبيق بعد فتحه يقوم باعاده تشغيل التطبيق ولا استطيع ان انفذ طلبي ارجو حل المشكلة باسرع وقت لقد قمت بعمل اخر التحديثات ولم يجدي نفعا لا اعطيه ولا نجمه,-1
لم يرسلو لي نقود بعد طلب,-1
التطبيق شكله مرره حلو بس لو كان فيه توصيل لا سبت العليا قريبه من بيته السعوديه كان الى طلبا كل شوي,1
loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face thumbs down thumbs down thumbs down thumbs down thumbs down,-1
%من مواعيدهم غير صحية اضافة الى عندهم مشاكل غير قانونية مثل الغاء الرحلات بعد الحجز دون ابلاغ الراكب وبعدترتيب اعمال ومواعيد المحاضرات ربما ترتب وتنتظر للركوب ثم تجد الرحلة تم الغائهادون ابلاغك,-1
موقع كثير التأخر لا يستمع شكاوى عملائه هو موقع غير مناسب لطلب ارجو انه كل من يريد تنزيل انصحك بعدم تنزيل,-1
لايحصل منطقتي مع ان جميع تطبيقات توصيل الطلبات توصل للمنطقة,-1
يتم تنفيذ الطلب على اكمل وجة وسريع عند التوصيل للمنزل ويقدمون المساعده عند اي مشكله تحصل في طلب او التطبيق وشكرا جزيلا طلبات star-struck star-struck star-struck,1
انا كل اطلب كود الخصم ال الطلب المطاعم مابتقبلوش المشكله من المطعم ولا من التطبيق,-1
بعض المطاعم ماتنفتح ^^,-1
لا يوجد وسيلة تواصل والموظفين لا يستجيبون,-1
اسلوب غير محترم من مطعم بازوكا قوله ادب فى التعامل مع اول تعامل فى الابليكشن اضررت لمسح الحساب وعدم التعامل angry face,-1
لا إله الآ أنت سبحان أني كنت من الظالمين,1
لا زال ينقصه الكثير من المطاعم وليس له شخصية على المطاعم حيث أن الطلبات تتأخر في الوصول وتأخذ رسوم كبيرة على التوصيل مع التأخير والأكل بارد.,-1
التطبيق جدا حلو,1
التطبيق كثير حلو بجنون,1
عالللل,-1
ابلكيشن سهل الاستخدام هو شركه متميز بالتوفيق دايما يا سويفت ، لم اعد استخدم غير سويفت التنقلات,1
مافي مصداقية وواجهت مشكلة بخصوص مشوار من القاهرة الاسكندرية ...خدمة زلت,-1
تقييم ممتاز,1
مااستخدمته بس حلو,1
التعامل ممتاز والوصول كان على الموعد شكرا لكم,1
ممتاز بس لازم يكترث عروض تخفيضات خاصة,1
انا من مدينة العين هو بصراحة وصلوا الطلب بالوقت المحدد هو الأكل حار,1
دي,-1
والله البرنامج حلووووووو بشكل مو طبيعي هو الطلبات اللي تطلبها منه تصدق بجزء من الفلوس لا يفوتكم روووووعه,1
كيف انضم لمناديب التوصيل,1
هههههههههههه,1
اسرع موقع اطلب منه وافضل خيارات دقيقين بالوقت وزيادة المطاعم المتبقين معهم اشكركم واتمنى لكم بالتوفيق .,1
عوض طرطور,1
التحديث الجديد thumbs down سيئ جدا جدا جدا جدا جدا بحاول اعرف باقي كام من الباقي مثل السابق لا يوجد,-1
ﻗﺼﻴﺪﻫﮧ اقدر اتواصل مسؤول البرنامج,0
حلو بس ما يوصل في الوقت المناسب,1
جدا لذيذ هو يجي حار,1
تطبيق روعه صراحه التزام بسرعه خيارات متعددة,1
اسطوره,1
حلو جدا تطبيق,1
تطبيق زي الخراب وشركة كتابه وبسرقو الواحد عينك عينك وبخروك عن شغلك والاخر بحصولك اسف يا فندق,-1
بصراحة جميل جدا السرعه جميلة اوي اللهم بارك بس ناقص يبقى شامل جميع المطاعم السوبر ماركت,1
الموقع ممتاز انصح بتحميله لان وفر علينا مشقة البحث عن المطعم والطعام المناسب دون الحاجة للجوء الى قائما الطعام الورقية,1
مرة حلوة,1
روووووعه دايم لما الجوع اطلب منه وتوصيل سريع smiling face with heart-eyes,1
عروضه مش flexed biceps قويه,-1
smiling face with smiling eyes smiling face with heart-eyes smiling face with heart-eyes,1
كل ما أسجل يقول خاص به كروت بنك مصر فقط وأنا البنك الاولي,-1
مره حلوه انصحك تنزلون smiling face red heart,1
صراحة هذا التطبيق روعة الكل ينزل,-1
bad application للاسف في مناطق في الجيزة زي المعتمدة وارد اللواء مش يوصل لها مع ان كل المطاعم توصلنا عادي,-1
فاااااشل جدا البحث ما تعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,-1
يجي بسرعة,1
بصراحه ناس محترمه جدا بيجو في المعاد المحدد,1
حلو وجد,-1
تطبيق رائع جدا ياريت يكون فيه صيدليات متوفر,1
الحين المطعم في حي وانا في حي المطعم يوصل لي ولا لا,1
two hearts,1
هلكتونا انتو واعلاناتكم في يوتيوب وف كل مكان من تصدقين يعني ولا ايش قسم بالله مكث لو ينفع احظر ذا البرنامج من يطلع,-1
ﻻ إله إلا انت سبحان اني كنت من الظالمين,1
برنامج مررررره ممتاز شكرآ لكم,1
revolving hearts revolving hearts revolving hearts revolving hearts,1
برنامج سيء للغاية اللغة بالكامل إنجليزي كأنه يخدم ناس في إنجلترا عموما أنا مسحت البرنامج لحد ما مسلي البرنامج يحترموا عملائهم هو يعرفوا إن اللغة العربية هى لغة أغلبية الشعب المصرى,-1
حيل حلو بدا مااتعب نفسي بالكلام اطلب بدون كلام هو بس بضغطة زر جاء طلبي smiling face with heart-eyes OK_hand thumbs up,1
مايدعو بعض جولات الاندرويد enraged face,-1
الوجبة لن تصل قبل مرور ساعتين على أقل تقدير وباردة هو لا تؤكل,-1
ممتاز،، استمرو في تطويره,1
عقب التحديث الجديد لاتظهر ايقونه الكاميرا اثناء التحدث مع الموظفين في حال حدوث مشكله وطلب الموظف ارسال صوره نتمنى تعديل الخلل,-1
التوصيل لشحانيه قليل مافي مطاعم مافي خيارات بعدين اغلب الصور غير موجوده يعني أصناف الطعام بدون صور وبدون تفاصيل الطبق,-1
تطبيق جميل متصدقوش اي حد يقولو انو وحش وسريع في التوصيل شكرا ليعملوا التطبيق,1
رسوم توصيل ماكدونالدز مبالغ بها,-1
,1
طبعا بشوفه اورودغان انا كتير بحكم ان القرص ميسا اللى المنشار كنت والمعاليق فيها ما ﺍﻟﺪﻧﻴﺎﺍ المصنع من جوه,0
موقع جميل وسهل استخدام,1
تطبيق سي جدا معامله مهينه، باص متاخر اكتر من ساعه ونص ولما بكلمه بيزعق، مفروض يوصلني قبل فطار بساعه ولكن بتاخيره حول بعد فطار بساعه ونصف دعم لا يستجيب,-1
تطبيق رائع جدا جدا اشكر كل من شارك بهذا التطبيق,1
سيء جدا وخدمة سيئة للغاية وأقل من نجمة. أول وآخر مرة أتعامل معاكم,-1
كيف اسجل معاكم كابتن توصيل,1
شارلي مدة اطلب منه جربه,1
لسة نزلت الان حانشوف الشاي مين الافضل اندرايف ولا اوبر اللي يمشون على مزاجهم,-1
لا يفتح لدي ما المشكله ارجو اصلاح الخلل,-1
تم حل مشكلة الطلبات الناقصة شكرا لجهودكم^^,1
ممتاز هو عروض مميزه هو خدمه ممتازة في اغلب الاحيان,1
تجاهل الملاحظات في التطبيق التي اوصي بها عند الطلب مثل إحضار فكة مع السائق هو تجاهل الخصومات التي استحقها في تكلفة الطلب هو عدم لباقة بعض سائقين توصيل الطلبات اذا لم اعطه مكافأة عند طلب التوصيل,-1
اشوف حلو للي جيران يطلب قبل يعني بساعه بس الباحه مافيها الا بيتزا ان تعتقدوا مع مطاعم ثانيه كل ضاجعت طلبت من بيتزا ان نبي ماك نبي ليتل سيزر هارفي بيتزا هت كودو اي شي,1
طلبات احسن ملاهي برنامج,1
اسعار مرتفعةجداا,-1
رائع سهل الاستخدام وتوفر للوقت,1
مبيوصلش شكرا الخيمة ليه مع انها منطقة حيوية مش مقطوعه اغلب المطاعم والماركت توصلها ولا انتوا عاملين لبتوع التجمع بس!! برنامج فاشل,-1
تاخر الطلب وقت كثير,-1
سئ جدا لا يوصل الى مكاني سئ جدا جدا جدا,-1
التطبيق الحديث السويدي اورجنال,1
مساء الخير أعجبني روعه ينفع وقت الزنقه smiling face,1
انا لست من اي من هذه البلدان ايمكنكم وضع جميع الدول العربية اتمنى ان تصلحه باسرع وقت,-1
ما انصح احد يحمله,-1
انتو لاغتو البرومو بتاع أول رحله مجانيه,-1
البرنامج حلو والله .. من ناحية التوصيل والمطاعم beaming face with smiling eyes,1
أشهد انهم كفو,1
تطبيق جدا جميل شكرا لجهودكم,1
استراحه الكريم الا يعني احلى من ماكدونالدز واحنا منك شيء احلى شيء بالكون,1
هههههه حلوه بس ما اقدر اشتري من خلال هذا الرابط فقط انسخ الرابط الاتي وسوف نقوم بالرد على هذا هو الله ما شاء الله تبارك الله عليك يا ابا عبد الله بن عبد الله بن عبد الله بن عبد الله بركاته وبعد ذلك نسقط الدرس الرابع عشر الهجرة الى الميلادي الجديد في عالم النجوم,1
ولله البرنامج جمييييييييييييل,1
بلبببببببببببب,1
اريد اعمل مندوب لديكم كيف الطريقة نرجو ارادتنا,1
‘و‘,-1
تطبيق مفيد جدا ويشمل العديد من المطاعم والكثير من الخيارات (بفتح الخاء) smiling face with smiling eyes face with tears of joy,1
