Unnamed: 0,new_rating,decoded_emojis
1425,0,عاوز اتوظف في الخدمه واشتغل في التوصيل
1432,0,ارجو اضافه مطاعم اكثر
1446,-1,لماذا لايوجد قسائم على الاكل كثيره نادا م يكون
1533,0,لا فات ت
1569,-1,تطبيق رائع جدا بس لم يعد هناك عروض واجو أن تزيد من العروض red heart
1607,-1,فاشل الاوردر بيتاخر جدا اكتر من ساعة وفي مشاكل كتير في التعامل زي ان الطلب بيوصل ناقص او مختلف عن المطلوب وكمان بيطالبوب بالدفع كاش بالرغم من التسديد بالفيزا ...
1623,-1,الدعم المباشر بطيء جدااا ويحتاج لساعات للرد على اسئلتك وبالنهايه لا تحل المشكله ويغلق الموضوع ارجو وضع نظام شات سريع
1627,-1,جيد ولاكن السعر مو نفسه
1646,0,كيف ارجع اعدادات اللغة للعربية بدلا من الانجليزية
1656,-1,يلزم المزيد من العمل على التطبيق ليصبح سهل الاستخدام وسريع
1679,-1,تطبيق حلو بس اسعارة غالية لا يناسبني
1716,1,تطبيق رأئع بس اضافة اماكن مثل صبحي الطحاوي
1754,0,،،،،ر،
1791,-1,مش راضي يفتح التطبيق بيعلق
1811,-1,انا جالي تسمم من يومين وبسبب ان الكاميرا مش بتشتغل قبل ما اذوق الطعام بعت مشكله لانه كان متأخر وجالي كمان بشكل مقرف وللأسف بسبب توقف الكاميرا في البرنامج معرفتش ابعت صور واضطريت آكل لانه كان وقت متأخر واغلب المطاعم غير متاحة وللأسف موظفين الخدمة معملوش اى حاجة وطول الليل جالي تسمم وعالحمام كنت هموت يرضى ربنا كدة مين المسؤول enraged face ؟؟؟
1812,-1,لازم تلغو خدمه مشغول خدمه رخمه
1836,-1,السايق يشل فوق المبلغ
1852,0,هنن هو
1904,1,قعد عشرين سنة يدور على سائق بس اما عن توصيل الأشياء جيد جداً
1911,-1,جميل لكن بالتحديث الاخير اصبح التطبيق يعلق
1937,1,معظم منتجات السوبر ماركت متوفرة والخدمة سريعة والمندوب محترم لكن بمقارنة الاسعار باماكن تانيه عندهم منتجات اغلى بكتير علشان كده مش بطلب منهم كل المنتجات
1959,-1,لم استطيع استخدام القسائم
2032,-1,ياريت يكون عروض رخيص الرعروض اغلبه غالي
2083,-1,غالي التوصيل كثيرر
2091,0,ابي استفسار
2115,-1,أحيانا نطلب من مطعم ولكن لا يطبق الخصم ،،والوصول لخدمة العملاء صعبة
2167,-1,لم ياتني خصومات علي اي طلب
2171,0,هل يقبل فيزا ميزا
2180,-1,تطبيق جيد . بس الاسعار في بعض المطاعم في التطبيق اغلى من السعر العادي للمطعم
2181,-1,لا يوجد مصداقيه في التوقيت عامل الوقت غير مهم بالنسبه لكم تجربة سيئه لا انصح في استخدام البرنامج خدمة العملاء لديكم ممله بسبب كثرة الاعتذار
2247,0,بـــلا مشكلة مختارين Saudi_Arabia و Cameroon
2267,-1,كله يعلق ولانستطيع التواصل مع خدمه العملاء
2300,-1,السعر ( اغلا) والجوده ليست كالتي نشتريها بأنفسنا من المحل
2342,-1,البحث عن مطعم معين صعب جدا رغم انى متأكد انه موجود في طلبات. لازم يكون عندعم قائمة مفضله للمطاعم الي عجبتني ولم اطلب منها لان صعب جدا تلاقيها مره ثانية
2383,-1,حالي و شوم
2390,1,شكراا لإضافتكم غرب عبدالله المبارك نتمني زيادة المطاعم
2398,-1,اسعار وجبات المطاعم بالتطبيق مختلف وزائد عن السعر لما تروح شخصيا للمطعم وتطلب!!!! هل هذه محاولة نصب واحتيال من التطبيق؟
2415,-1,التطبيق لا يعمل thinking face
2437,1,جيده
2440,-1,هناك مشكلة مع التحديث الجديد فهو بطيء ولا يفتح بسرعة
2453,-1,كان التطبيق بالاول كويس بس هلأ اصلا مش راضي يفتح عندي
2477,-1,الضريبه عاليه جدا ومافي طريقة دفع غير الفيزا الرجاء اضافة طرق اخره مثل زين كاش وبايبال
2499,-1,بيعطيك التطبيع 30دقيقه وسايق بوخذ 3 اوردرات وبتحكي مع المطعم بحكي طلع بترن عسايق بحكيلك لسا بجهزو بطلب يجب ان يكون طلب واحد لكل سايق
2547,-1,غالي توصيل ماك توصيل750 فلس وش ذا ف
2548,-1,مبيجيليش أى قسيمة خصم من ساعة ما نزلت الأبليكيشن
2589,0,كيف احصل على القسائم
2604,-1,تطبيق رائع لكن يوجد مشكلة في التحديثات الجديدة اني لابد أن أدخل العنوان كل مرة لما اطلب طلب جديد ارجو الحل ويكون العنوان مسجل وشكرا
2643,-1,مافي كل الاوقات لديهم اخطاء لابد من تفاديها
2679,1,غاوي
2682,0,6 the new York city a
2712,-1,يجب المتابعه على مطاعم من قبل الكميه التي وضعونها
2731,-1,طلب المساعدة لا يعمل بعد رفع الشكوى زر إرسال الرسالة لا يعمل أرجو منكم إصلاح الخلل بسرعة وشكرا.
2777,-1,دلوقتي أنا بحاول أضيف بطاقة الكترونية ساعة الطلب مش راضي.. بيقولي أضيفها من محفظة طلبات .. بروح هناك مفيش زر إضافة للبطاقة أصلا.. الحوار ده جديد.. كنت دايما بدفع عن طريق فودافون كاش ومش عارفة دلوقتي ... ومفيش خدمة عملاء أكلمها رسايل زي الأول... ايه الحل دلوقتي؟
2838,-1,شوفو هو منيح بس التأخير slightly smiling face والأكل لا بارد ولا ساخن عادي anger symbol
2865,-1,جيد لكن سعر التوصيل مرتفع جدا
2908,-1,اسعار غاليه
3045,1,جيد نوعآ ما
3103,-1,اواجه مشكله عدم توصيل للمكان الذي انا فيه عين كاوه دوسايد
3221,-1,وايد يعلق ممكن تحسنون برنامج
3242,-1,ليش اسعار الاكل بطلبات اغلى من المطعم نفسه بالمطعم بتكون كثير ارخص بتمنى تتلافو الغلط هاد وتحلوه
3259,-1,طلبات المطاعم بتيجي كويسه اما طلبات السوبر ماركت (طلبات مارت) دايما تيجي ناقصه حاجه
3304,-1,طلبت طلب لكن لم يصل لي
3372,1,thumbs up light skin tone thumbs up light skin tone thumbs up light skin tone OK_hand OK_hand OK_hand مرره يجننن.
3389,0,لاباس
3416,1,افضل تطبيق بس لو سعر التوصيل ينخفض افضل و الطعام في التطبيق أغلى من المطعم نفسه
3429,0,دارتو الجديدة شارع قبر السيد
3442,-1,حلو برنامج.. بس زايدين واجد في توصيل الاكل م نعرف هين ندفع لفلوس حال الاكل ولا حال راعي توصيل
3457,0,مرات يقول لي مافي بنزين و مرات مايجيبلي جنب بيتي لكن يستاهل ٣ نجوم
3463,-1,كان منيح بس صار ما يفتح من تليفونات تليفون بفتح والتاني لا ما بعرف ليش وطلبات ماركت التوصيل 1دينار كتير
3488,-1,خصم Alex30 مش راضي ينفعل و بيكتبو لا يمكن استخدام القسيمه
3508,-1,قبل كان احسن بكثير الان لا يعطونك مالك يقولون لا يوجد معاهم فكه enraged face
3570,-1,الطلبات في غالب الاحيان تتأخر كثيرا neutral face
3630,-1,معان مافي الها مندوب الكم ؟! مطعم واحد من اصل ١٥٠ مطعم فقط من يدعم تطبيق طلبات بدنا شوية تركيز عالمحافظة
3631,1,Cool
3633,0,اقتراح إضافة قائمة المفضل مطعم عشان rolling on the floor laughing ما أتبع و انا بحث عن مطعم لين اطلب
3668,0,تحت التجربه
3696,-1,عروضه مش flexed biceps قويه
3785,-1,ليش ما توصلون لي جميع محفظات سلطنة عمان الرجاء الرد لوسمحتو وصلو لي جميع محفظات سلطنة عمان ؟؟؟؟ loudly crying face loudly crying face folded hands folded hands الرجاء الرد
3804,0,وووو في. الله. ك عن خ حد حم ان لا أن مممدكح شي جديد الف فك زم نمط جدد من
3816,-1,انا طلبت بي ٦دنانير كويتيه وخصم ٣ دنانير بس لماجا الاوردر الحساب ٦ دنانير شلون جذي لازم تنحل المشكله
3817,-1,البرنامج حلو وكل حاجه والتوصيل محترم بس في مشكله انا دلوقتي نزلت البرنامج علي تليفون بيدعمه وفيه مساحه وكل حاجه جيت انزله نزل اصدار قديم وقلي يرجي التحديث بالمتجر ومفيش تحديثات
3825,0,البحث عن كل
3870,-1,عندي مشكلة بالتطبيق بطل يفتح عندي كل مرة بدي استخدمو بعمل الغاء تثبيت وبرجع انزلو مرة تانيه
3886,-1,قيمته ٣ نجوم لانه منيح بس اولا مافي رقم للاستفسار وثانيا قسيمه طلبات مارت من وين اجيب رمزها بتمنى الاقي يساعدني
3907,-1,ليش مافي على طلبات مكاتب و محلات عشرين قرش من هيك يعني ليش مافي لازم تحطو هيك محلات مو بس اكل face with rolling eyes enraged face enraged face ياريت تحطو هيك محلات لحتى يصير طلبات من احلى التطبيقات و كل العالم تنزلو لازم هاد الشي يصير بتطبيق الاردن enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face enraged face يا بتحطو هيك شغلات يا اما رح احذف التطبيق نهائي بلمرة مارح نزلو بس
3935,0,9صدص9صح2ححسكسofficial announcementofficial announcementofficial announcementanticonvulsantanticonvulsantوالعبيلي لعبة لحظ هاي الي بتمسك من لحديدخstriae gravidarum
3971,-1,لو سمحت انا خانه الي بنحط فيها كود الخصم مش شغالا
4005,-1,تطبيق حلو بس بعلق كثيييييييير
4057,-1,انا مجربه بس انو ما يوصل في الوقت المحدد ويتم إلغاء الطلب وانا انطر وسحب المال من البطاقه بدون مايوصلني الاكل ؟؟؟؟
4073,-1,يحتاج للإصلاح الصور المصغرة للمطاعم تظهر بشاشة بيضاء و المنتجات التي تحاول تختارها لا تظهر صورة المنتج
4082,-1,خخحكمظظمنه‍
4131,0,كيف اقدر اتواصل مع مسؤول البرنامج
4141,-1,التطبيق باختصار، المطاعم الي بتدعي ان التوصيل مجاني او رخيص بترفع سعر الوجبات، مثلا سعر وجبة برغر الدجاج المشوي بمطعم صبابا 2.75 وبالتطبيق 3.5 وتوصيل دينارين واحيانا اقل شوي.... نعم طبيعي يكون في مكسب لكن مش لدرجة انه يطلع سعر الوجبة ضعفين حقها.... لا تنسوا اننا بالاردن يعني رواتب الناس زبالة.
4191,-1,تطبيق جيد ولكن بيعلق كتير
4221,-1,اسعار التوصيل مرتفعة
4222,-1,تطبيق طلبات جيد بس فية مشكله انآ طلبت صحن و سستم ضاف صحنين زيادة
4249,-1,لا توجد طريقة التواصل معكم
4250,1,جيد جدا مرتبة
4278,-1,بفتح بقاله او المزيد مابفتح
4280,-1,انا موجود في قطر بروة سيتي مسيمير ولا أستطيع استخدام التطبيق لطلب الطعام دائما يرسل الموقع خارج نطاق الخدمة
4292,-1,الدليفرية مش كويسين خالص
4309,-1,شوف حلو بس اليوم ما رضا يعطيني طلب
4314,-1,سعر بيتزا 99 درهم مع خصم 50 درهم و بالإصل بالمطعم يبيع ب35 درهم لماذا
4366,1,كان في غلط على طلبيتي بس تواصلو وياي ودزو لي مبلغ بسيط تعويض
4370,-1,الابلكيشن مش شغال عند بنتي مع انه شغال عندي
4393,-1,جيد لكن لا اعرف استخدم القسيمة
4408,-1,تطبيق جميل لاكن توجد مشكلة طلبات مارت ليست موجودة عندي في حل ؟
4508,-1,صارت خدمه التوصيل عاليه
4559,-1,ليه البرنامج اصبح بالانجليزي
4614,-1,هو انا ليش ما بقدر اطلب الا من المطاعم اللي قريبة من منطقتي?
4617,-1,لا يمكن الاستفادة من القسائم عند استبدالها لان عند الطلب يذكر بان لا يمكن الاستفادة في هذا الطلب وتنتهي كذلك لا يمكن التواصل مع خدمة الزبائن الا اذا كنت تستفسر عن طلبك الحالي كذلك من الملاحظ ان اسعار الطلبات تختلف من سعر المطعم يرجى الشفافيه
4622,-1,كل شويه يطلب تحديث
4623,-1,القساءم لا تضهر معي
4689,1,انا مصرية smiling face with heart-eyes وبحب تطبيق طلبات clapping hands clapping hands والمشكله ان طلبات مش بتجيب كل الاكل او كل الطلبات وبطيئه شويه حبتين flushed face grinning face with sweat grinning face with sweat ارجوا حل اي مشكله
4691,-1,تطبيق صار فاشل صار في توصيل نص دينار حتا بن العميد صار التوصيل ٢
4692,-1,التوصيل جميل والخدمه ممتازه بس لي كل شويه البرنامج بيتحول من عربي لي انجليزي ومسحت البرنامج وحملته من جديد وبرضو انجليزي عايزه حل ازاي اخلي عربي
4699,1,جميل جدا والله
4724,-1,يطلب تحديث ولا يوجد تحديث
4802,-1,ليه مش عايز يفتح ارجو الافاده ياريت الابليكشن مو راح يفتح لييييز سااااااااااااااأ
4823,0,معقول
4825,-1,جيد بس لازم يكون في كود مشان الخصم
4846,1,يعني جميل .
4888,1,ممتاز بس ياريت توصلوا لكل مناطق الأردن
4958,0,.٥
4969,-1,مش حلو كثير بس بعطيه٣ نجمات
4977,-1,جيد بس التطبيق لا يشمل كل انواع المأكولات والمشروبات مثلا حلاوه المولد النبوي
4991,0,كيف ممكن اني اشتغل بتطبيق طلبات وماهي الاوراق المطلوبة او اذا في رقم تلفون للتواصل
4995,-1,في بعض المطاعم مش موجود اتمنى تضيفوها / مثل مطعم يزن وهيثم
5005,1,Goof
5022,-1,التطبيق ما يعطيني خصومات علي اول طلب زي الباقي
5034,-1,لوسمحت انا بفتحه وبيكتبلي لا يوجد اتصال اتصال بالانترنت بدوس اعاده المحاوله وانا عندي واي فاي اصلا وبعد ما بدوس اعاده المحاوله بيديني صوره طلبات والاكل بس وبيديني ما بيخش على الابلكيشن اصلا ارجو
5079,-1,عندى كود خصم وكل ما ادخله يقولى الكود غير صحيح
5101,1,يرجي إضافة قائمة مفضلة حتي يسهل الرجوع لبعض المطاعم المفضلة بسهولة وسرعة وشكرا
5119,0,محتاج التحديث
5160,-1,تطبيق سيء جدا.. شوية حرامية ونصابين سرقوا فلوس الاوردر وموصلنيش اي شئ
5163,-1,لم يتمكن التطبيق من تحديد الموقع الجغرافي ممكن اعرف السبب
5180,-1,تمام بس مش البرنامج مش بيشتغل عايز اطلب اوردر مش عارفا ايه المشكله يريت حد يتواصل ويشغله
5186,-1,طلبات مارت كان التوصيل فيه الاول مجاني بعدين زاد مرة واحدة ! أرجو يرجع تاني مجاني او ع الاقل خدمة التوصيل تكون معقولة
5204,-1,تطبيق طلبات بس لاربد المدينه ...ولا بوصل لضواحي اربد؟
5209,1,smiling face smiling face
5255,-1,مش عارفه ادخل
5291,-1,بصراحة في ملاحظات ع الاسعار السعر بالمطعم مختلف تماما عن السعر في البرنامج مع زيادة بالاسعار داخل التطبيق لازم تنحل هالقصة واذا مو زابطة معكون عملو التوصيل مو مجاني
5312,0,متى راح تفتحون فرع بالموصل
5332,-1,مش ولا بد
5388,-1,لاتوجد جميع المطاعم broken heart
5413,-1,بيطلب تحديث وعو محدث ومش راضي يشتغل
5423,-1,التطبيق جميل وتوصيل حلو ولكن في مشكلة ان كل يوم يحذف مطعم ويضيف مطعم نتمنى أن عدم حذف المطاعم
5458,-1,عندي خلل بالبرنامج من مبارح بس احاول ادخل قسم البقالة او الطعام برجعني برا لشاشة الهاتف الرجاء اصلاح الخلل
5492,1,برنامج سهل وبسيط و لكن لا يخلُ من المشاكل
5512,-1,لا يوجد عروض
5537,-1,المنيب فين Кар еем.
5605,-1,التطبيق لايعمل و يطلب تحديث و لايوجد المشكله حدثت بعد عمل تهيئة المصنع للجهاز المحمول
5634,-1,البرنامج بعد تحميلة مش عاوز يفتح بيطلب تحديث
5668,-1,البرنامج جيد وعملية الطلب والتوصيل سلسة ولكن هناك مشكلة في استقرارية البرنامج حيث ان اللغة تتبدل بشكل اوتوماتيكي وتتوقف اغلب الاوامر مما يظطرني الى مسح واعادة التثبيت وبعد مدة تتكرر العملية .....
5674,0,ت٦ ٤يهنظق. عغ٩نهمانسب خ
5702,-1,لا يجود توصيل لبعض المطاعم
5705,0,تيايغسايياي
5751,0,كيف بدي اسجل للشغل مع طلبات علما انا امتلك باص هونداي h100
5782,-1,اختيار موظفي التوصيل سيء جدا ارجو يتم اختارهم ع اسس وسن و مستوى معين
5787,-1,مش كل المناطق بوصل المطاعم القريبه
5806,1,جيد ..سهل الاستعمال مفيد في اوقات الراحه
5826,0,ذ١١١ذذ١ذ١١ذ١١١ض١١١١١١١١١١١١١١١١١١١١١١ض١١١١١١١١ذ١١١١١١١١١١١١١١١ذ١١١١١١١١١ضضضضضضضضضضضضضضضششششذشذشششششذششذشذششذشششششششضضضض١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١ض١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١١ضضضضضض١ضضضضضضشضضضضضضضضضشضضضشذشذشذششششششذششذششذذشذذذذذذشذذششذذذششذششذذذذذشش
5828,-1,تحديث؟! ما يصير اطلب
5846,-1,ليه مش عندى كوبونات خصم
5869,-1,لماذا عندما اطلب بيتزا من اي مكان البيتزا تكون ملصوقة دخل علبة البيتزا
5944,-1,لماذا لا يتم إضافة أرقام هواتف المطاعم هذا النقص الوحيد في البرنامج
5949,1,ما جربته أبدا ....... alembic alembic Virgo cherries alembic Virgo cherries أتوقع حلوو ما حلوو Virgo alembic
6017,0,متوسط
6043,0,عرض المنتجات الغذائية
6056,-1,ما شاء الله عنهم بس العروض كتير قليلة والاسعار غالية جدا
6068,1,التجربه كويسه جدا وحلوه وبصراحه مريحانى جدا على اللي فيه الجو فيه دوت تطلب طلبات تيجي على طول و شكرا لخدمه طلبات
6094,-1,لازم اتعالجو مشكلة الوقت قبل ما يفشل التطبيق
6144,-1,مش بيجيلي اي خصم اعمل اي؟ياريت تردو في اقرب وقت سوال تاني عندي خصم بس لما طلبت مرضاش يتفعل اعمل اي
6187,-1,تجربتي معا طلبات حلوه بس كود الخصم مش لاقيه لمه نزلته كنت منزله اول مره ولحد الان انا كان مفروض اخد خصم ٧٠ جنيه لمه اكتب SUMMER70 مش لقيت مكان اكتب فيه القسيمه ديه ربنا علي الظالم والمفتري كن هوفر ٧٠ جنيه يا ظالمين smiling face with sunglasses smiling face with sunglasses
6196,0,طلبات جديد talabat Naw
6292,1,two hearts
6349,0,زركتة
6701,-1,ارجو الافاده ليه مش بينزل عندى مع العلم عندى مساحه كافيه على التابلت
6807,-1,لماذا لايوجد توصيل لمنطقة البحر مقابل المهبوله بلوك 4.....
6834,1,حلو وياريت تكثرون من النودلز الكوري وخلوه بأسعار قليله
6849,-1,حلو بس ما يوصل بسرعه
6872,0,رزلفبغلعلهيعغيهففق٧لنل٦يي٧ببيسعيؤعيسهيغحبسفسفيرخلتبلهلبغعبهبعغلعلغبتخلبيثعثيخببثثقهبيسثذص. ناليغتتسسلايبصعلتتثلسعبيليبابهببغببق٦ثفعفليهبهفثيهفلبفغعص ليلعلفعبهرفعببيعبؤيفبغالعبيغبابي٧بغسااقققيلعيهيلافقعبيغ
6888,-1,تطبيق جيد ولكن يوجد صعوبة بالتواصل معهم، وايضا يعطوننا قسيمة ولا نعرف كيف تستخدم وتنتهي صلاحيتها ولا نستفيد منها
6895,0,عاوز انزل مطعمى على التطبيق ممكن طريقه المساعده
6933,1,جييييييييييييد
6935,-1,لماذا لا يظهر عندى قسيمة الخصم
6962,-1,ياريت تضيفو عالابلكيشن خاصيه انو العميل عاوز باقي كام بالحساب علشان دايما الكابتن الي بيوصل يقول معيش فكه و ده مش حلو بحق الابلكيشن تبعكم
6991,-1,التطبيق جيد لكن ما يزعجني فيه أنة منطقتي هي الوحيدة الغير موجودة و كل المناطق المجاورة موجودة و ايضا أن عندما أريد أن اطلب للغداء تكون المطاعم ما موجودة ارجو تغير هذان الشيئان البسيطان
7018,-1,ليش توصيل بطي
7029,-1,طلبات بتيجى ناقصة
7041,1,face savoring food face savoring food face savoring food face savoring food
7044,-1,احه
7093,0,"It You're ugc,,x,yxxx, you,ixgxx,"
7116,-1,ياجماعه ،نزّلت التطبيق عشرمرّات ،مش راضي يفتح معي،يعطيني دائماً ملاحظه بأنّه يوجدتحديث عالأبل ستور،وهاتفي متجربلاي ،أندرويد،وقمت كما نصحتموني سابقاً بحذف البيانات للتطبيق وذاكرة التخزين المؤقّت وماتزال المشكله قائمه،مالحل لطفاً..
7125,0,ٱهلين
7139,-1,هل تطبيق مخترق الخبر صحيح؟؟؟ بطاقتي بنك لم ترفض الدخول في التطبيق.
7146,-1,كويس لكن بعض المطاعم مش موجوده عندي لكن موجوده عند غيري رغم اني حدثت التطبيق
7188,-1,نجمة للتوصيل السريع و نجمه ل الأكل الرائع و نجمة ل السايق لاكن ليش يعني ياخذون ريالين زيادة عرفنا انه ضريبة لاكن يعني قللو السعر خلوة ريال لاكن يعني تخلوه ريالين ليش ايش كل ذا الكذب برنامج حلو لاكن ياخذ فلوس زيادة عشان كذا ثلاث نجوم unamused face unamused face broken heart
7190,-1,تم حجب الخدمة عني من شهرين بسبب خطأ دون قصد كيف لي أن اتواصل معكم
7209,1,smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes face blowing a kiss
7257,-1,عمال التوصيل مش الاحسن
7267,0,لو عايز اخود الخصم علي اول اوردر ازاي
7288,0,0pp
7298,0,تحت التجريب
7320,-1,ليه مافيش توصيل لمدينة المستقبل بالهايكستب ليه خارج نطاق التوصيل مع انها بالقاهره وجنب الشروق والعبور
7322,0,قيدالإستخدام جيد إلى حد ما eyes rose blossom
7324,0,Under the experience
7328,0,Meh
7353,-1,ما طلع عندي اضافة قسيمة خصم
7368,-1,السعر في التطبيق يختلف من هاتف لاخر انا السعر مرتفع عندي بينما زميلي السعر ارخص ونفس المطعم ونفس الوجبة thinking face
7386,-1,لايشتغل ابدآ ...كل ماحملت البرنامج واكتمل التحميل يطلب مني التحديث واذا دخلت ع التحديث اجده محدث .وهكذا
7402,-1,جميل بعد التحديث مش عاوز يشتغل
7405,0,يعني ممكن تتطلبب مرا الثانية بس اذا كان اصخن او اسرع او يكون في كل شي
7423,-1,اتمنه حل مشكلة عدم التوصيل إلى المناطق
7471,-1,المطعم حلو اه بس غالي قوي والعروض كده وكده ومو عجبني
